month	document_count	total_words	total_chars	avg_words
1927-12	1	549	3810	549.0
1928-02	1	1029	6933	1029.0
1928-04	1	978	6553	978.0
1928-06	1	182	1137	182.0
1929-01	2	18489	135094	9244.5
1929-07	2	2078	15858	1039.0
1929-10	1	818	6150	818.0
1929-12	1	443	2774	443.0
1930-01	3	1593	10739	531.0
1930-02	4	945	6081	236.25
1930-03	7	2140	14384	305.71
1930-04	9	4937	32418	548.56
1930-05	7	1925	12833	275.0
1930-06	4	748	4874	187.0
1930-07	5	1075	6803	215.0
1930-08	1	143	975	143.0
1930-09	2	1885	13656	942.5
1930-11	3	408	2553	136.0
1930-12	3	387	2387	129.0
1931-01	3	595	3703	198.33
1931-02	4	3185	20973	796.25
1931-03	7	4561	30016	651.57
1931-04	10	2541	16087	254.1
1931-05	4	863	5354	215.75
1931-06	1	360	2288	360.0
1931-07	1	1501	9700	1501.0
1931-08	2	895	5857	447.5
1931-09	4	1095	6500	273.75
1931-10	6	2846	18027	474.33
1931-11	5	1587	9671	317.4
1931-12	4	3273	21303	818.25
1932-02	1	132	834	132.0
1932-03	2	927	6318	463.5
1932-04	1	438	2602	438.0
1932-10	6	26809	170360	4468.17
1932-12	1	331	2101	331.0
1933-01	4	23085	168969	5771.25
1933-02	14	14807	100982	1057.64
1933-03	26	28886	198774	1111.0
1933-04	20	17312	106816	865.6
1933-05	6	5113	32797	852.17
1933-06	2	7211	47004	3605.5
1933-07	2	1380	9102	690.0
1933-10	1	2651	18165	2651.0
1933-11	1	3401	23507	3401.0
1934-01	1	342	2386	342.0
1934-02	1	903	6430	903.0
1934-05	1	168	1053	168.0
1934-06	1	2504	17455	2504.0
1934-07	2	1977	13668	988.5
1934-12	327	215893	1441704	660.22
1935-01	255	275328	1833629	1079.72
1935-02	42	44604	298367	1062.0
1935-03	130	138460	930657	1065.08
1935-04	92	116184	794134	1262.87
1935-05	13	16088	117473	1237.54
1935-06	6	49265	340750	8210.83
1935-07	8	26543	181792	3317.88
1935-08	6	9190	62379	1531.67
1935-09	2	2562	17093	1281.0
1935-10	28	21906	152783	782.36
1935-11	21	19583	133488	932.52
1935-12	14	18545	130427	1324.64
1936-01	10	15058	107691	1505.8
1936-02	12	18394	125462	1532.83
1936-03	72	98618	668971	1369.69
1936-04	68	112282	774222	1651.21
1936-05	36	77606	524631	2155.72
1936-06	20	81091	560025	4054.55
1936-07	52	131080	903019	2520.77
1936-08	119	401152	2693449	3371.03
1936-09	91	150048	1016374	1648.88
1936-10	104	270275	1851006	2598.8
1936-11	78	159710	1102399	2047.56
1936-12	76	210002	1428742	2763.18
1937-01	133	526492	3566067	3958.59
1937-02	85	383493	2577162	4511.68
1937-03	17	71830	485391	4225.29
1937-04	3	11017	69673	3672.33
1937-05	1	2777	18854	2777.0
1937-06	6	17417	121036	2902.83
1937-07	3	6296	43300	2098.67
1937-08	3	5796	37098	1932.0
1937-09	1	1222	7394	1222.0
1937-11	1	3806	26287	3806.0
1937-12	1	1903	11026	1903.0
1938-01	8	10176	60119	1272.0
1938-02	10	9386	55146	938.6
1938-03	21	50470	307484	2403.33
2022-10	1	36433	250227	36433.0
2022-12	1	27232	188042	27232.0
