document_type	count
interrogation_protocol	979
special_report	525
letter	168
unknown	144
statement	79
confrontation_protocol	57
session_transcript	50
testimony	41
memo_note	39
conversation_recording	33
list	16
summary	7
reference_note	6
indictment	5
draft_project	4
explanation	4
decree_resolution	3
plan_instruction	3
verdict_or_sentence	3
article	2
plea_pardon	2
questionnaire_response	2
speech	2
autobiography	1
data_extract	1
program	1
prosecutor_announcement	1
search_protocol	1
