entity_type	entity_name	document_count	total_words	total_chars	avg_words	wp_term_id	wp_slug	wp_parent	wp_link
category	Материалы следствия 1937	434	1056429	7230734	2434.17	80	materialy-sledstviya-1937	37	http://showtrials.ru/category/frontpage/january-trial/materialy-sledstviya-1937/
category	Материалы следствия 1936	370	706830	4862992	1910.35	67	materialy-sledstviya-1936	36	http://showtrials.ru/category/frontpage/august-trial/materialy-sledstviya-1936/
category	Материалы следствия 1938	105	362968	2495350	3456.84	130	materialy-sledstviya-1938	128	http://showtrials.ru/category/frontpage/march-1938-trial/materialy-sledstviya-1938/
category	Материалы следствия московского центра	367	246346	1650347	671.24	77	materialy-sledstviya-moskovskogo-czentra	39	http://showtrials.ru/category/frontpage/moscow-center/materialy-sledstviya-moskovskogo-czentra/
category	Материалы следствия кремлевского дела	233	242696	1637375	1041.61	72	materialy-sledstviya-kremlevskogo-dela	35	http://showtrials.ru/category/frontpage/kremlin-affair/materialy-sledstviya-kremlevskogo-dela/
category	Стенограмма 1937	14	215142	1445328	15367.29	84	stenogram-1937	37	http://showtrials.ru/category/frontpage/january-trial/stenogram-1937/
category	Стенограмма 1936	15	202360	1356498	13490.67	65	stenogram-1936	36	http://showtrials.ru/category/frontpage/august-trial/stenogram-1936/
category	Бухарин	70	167866	1092295	2398.09	138	n_bukharin	128	http://showtrials.ru/category/frontpage/march-1938-trial/n_bukharin/
category	Февральско-мартовский пленум	6	113937	726476	18989.5	141	fm-plenum	128	http://showtrials.ru/category/frontpage/march-1938-trial/fm-plenum/
category	Другие документы московского центра	55	85465	562426	1553.91	76	drugie-dokumenty-moskovskogo-czentra	39	http://showtrials.ru/category/frontpage/moscow-center/drugie-dokumenty-moskovskogo-czentra/
category	Стенограмма московского центра	4	80928	529105	20232.0	88	stenogram-1935	39	http://showtrials.ru/category/frontpage/moscow-center/stenogram-1935/
category	Другие документы 1936	47	74023	495526	1574.96	78	drugie-dokumenty-1936	36	http://showtrials.ru/category/frontpage/august-trial/drugie-dokumenty-1936/
category	Article	2	63665	438269	31832.5	144	article	1	http://showtrials.ru/category/frontpage/article/
category	Предыстория 1933	71	62299	407526	877.45	137	prehistory_1933	128	http://showtrials.ru/category/frontpage/march-1938-trial/prehistory_1933/
category	Прослушка	34	60822	359607	1788.88	139	wiretap	128	http://showtrials.ru/category/frontpage/march-1938-trial/wiretap/
category	Материалы следствия ленинградского центра	152	59817	399195	393.53	75	materialy-sledstviya-leningradskogo-czentra	31	http://showtrials.ru/category/frontpage/leningrad-center/materialy-sledstviya-leningradskogo-czentra/
category	Стенограмма ленинградского центра	3	44301	298588	14767.0	85	stenogram-1934	31	http://showtrials.ru/category/frontpage/leningrad-center/stenogram-1934/
category	Июньский пленум ЦК 1935 г.	2	44158	306875	22079.0	96	june-1935-plenum	71	http://showtrials.ru/category/frontpage/kremlin-affair/materialy-partijnoj-proverki-kremlevskogo-dela/june-1935-plenum/
category	Другие документы 1938	11	39034	280387	3548.55	131	drugie-dokumenty-1938	128	http://showtrials.ru/category/frontpage/march-1938-trial/drugie-dokumenty-1938/
category	Прочие документы	24	37345	256803	1556.04	70	prochie-dokumenty	68	http://showtrials.ru/category/frontpage/kremlin-affair/drugie-dokumenty-kremlevskogo-dela/prochie-dokumenty/
category	Другие документы 1937	34	34359	233934	1010.56	79	drugie-dokumenty-1937	37	http://showtrials.ru/category/frontpage/january-trial/drugie-dokumenty-1937/
category	Материалы партийной проверки кремлевского дела	24	32366	227848	1348.58	71	materialy-partijnoj-proverki-kremlevskogo-dela	35	http://showtrials.ru/category/frontpage/kremlin-affair/materialy-partijnoj-proverki-kremlevskogo-dela/
category	Ольберг	19	26593	175790	1399.63	142	olberg	36	http://showtrials.ru/category/frontpage/august-trial/olberg/
category	Синани	13	26166	175437	2012.77	145	sinani	35	http://showtrials.ru/category/frontpage/kremlin-affair/sinani/
category	Троцкий Седов и другие	31	16882	109149	544.58	148	trotskysedov	0	http://showtrials.ru/category/trotskysedov/
category	Разные документы	5	14302	98573	2860.4	38	misc-docs	1	http://showtrials.ru/category/frontpage/misc-docs/
category	Ольберг-Троцкий	45	9235	59306	205.22	143	olberg-trotsky	36	http://showtrials.ru/category/frontpage/august-trial/olberg-trotsky/
category	Ольберг-Троцкий-Два	16	6317	42759	394.81	147	olberg-trotsky-2	36	http://showtrials.ru/category/frontpage/august-trial/olberg-trotsky-2/
category	Дело Петра Николаева	10	6257	39154	625.7	73	delo-petra-nikolaeva	31	http://showtrials.ru/category/frontpage/leningrad-center/delo-petra-nikolaeva/
category	Дело об анонимке	3	4588	30737	1529.33	69	delo-ob-anonimke	68	http://showtrials.ru/category/frontpage/kremlin-affair/drugie-dokumenty-kremlevskogo-dela/delo-ob-anonimke/
category	Все тематики	4	3243	21164	810.75	1	frontpage	0	http://showtrials.ru/category/frontpage/
category	Троцкий и троцкисты 1936	3	2794	19941	931.33	146	1936-trotsky	0	http://showtrials.ru/category/1936-trotsky/
category	Дело Анатолия Румянцева	5	1738	11619	347.6	81	delo-anatoliya-rumyanczeva	74	http://showtrials.ru/category/frontpage/leningrad-center/drugie-dokumenty-leningradskogo-czentra/delo-anatoliya-rumyanczeva/
