document_type	documents	chars	words	avg_chars_per_doc	estimated_nmt_ru_en_usd	estimated_nmt_ru_en_pt_usd
special_report	526	9604474	1398144	18259.46	192.09	384.18
interrogation_protocol	982	7301792	1076347	7435.63	146.04	292.07
session_transcript	51	4934530	744642	96755.49	98.69	197.38
letter	256	1481811	227241	5788.32	29.64	59.27
statement	78	977750	146268	12535.26	19.55	39.11
biographical_article	2	438269	63665	219134.5	8.77	17.53
memo_note	40	412107	58956	10302.67	8.24	16.48
conversation_recording	34	360525	60959	10603.68	7.21	14.42
testimony	48	336308	49510	7006.42	6.73	13.45
confrontation_protocol	57	318436	48922	5586.6	6.37	12.74
list	16	250232	35613	15639.5	5.00	10.01
indictment	5	170448	23299	34089.6	3.41	6.82
press_summary	4	159278	23800	39819.5	3.19	6.37
administrative_report	16	97861	13709	6116.31	1.96	3.91
reference_note	6	91263	12810	15210.5	1.83	3.65
draft_project	4	69908	9711	17477.0	1.40	2.80
explanation	4	43399	5859	10849.75	0.87	1.74
speech	2	41779	6606	20889.5	0.84	1.67
program	1	32779	4354	32779.0	0.66	1.31
verdict_or_sentence	3	30263	4034	10087.67	0.61	1.21
brochure	1	29330	4072	29330.0	0.59	1.17
telegram	15	27564	4043	1837.6	0.55	1.10
plan_instruction	3	26029	3487	8676.33	0.52	1.04
autobiography	1	18165	2651	18165.0	0.36	0.73
plea_pardon	2	17747	2571	8873.5	0.35	0.71
questionnaire_response	2	16713	2634	8356.5	0.33	0.67
correspondence	2	15848	2507	7924.0	0.32	0.63
article	2	15684	2166	7842.0	0.31	0.63
summary	7	14715	2664	2102.14	0.29	0.59
interrogation_extract	1	14237	2104	14237.0	0.28	0.57
decree_resolution	3	9970	1312	3323.33	0.20	0.40
poem	1	8927	1316	8927.0	0.18	0.36
medical_act	1	6240	835	6240.0	0.12	0.25
data_extract	2	3202	505	1601.0	0.06	0.13
search_protocol	1	2204	328	2204.0	0.04	0.09
